날짜,에버랜드,서울대공원,서울어린이대공원,롯데월드
20180101,770,175,241,1051
20180102,362,82,190,502
20180103,270,50,178,782
20180104,313,58,152,564
20180105,365,61,169,545
20180106,863,214,393,1211
20180107,652,152,376,615
20180108,291,62,121,596
20180109,208,53,167,405
20180110,180,54,161,627
20180111,162,39,163,481
20180112,139,47,192,463
20180113,443,102,331,1257
20180114,569,170,391,645
20180115,245,51,119,715
20180116,183,35,159,382
20180117,229,55,195,620
20180118,243,73,162,489
20180119,369,95,223,564
20180120,824,205,383,1514
20180121,585,211,387,757
20180122,314,56,120,590
20180123,172,52,160,450
20180124,142,33,165,644
20180125,135,39,143,506
20180126,109,46,165,609
20180127,341,92,325,1520
20180128,434,103,283,683
20180129,159,47,90,662
20180130,187,57,161,437
20180131,219,53,167,510
20180201,207,60,166,327
20180202,280,53,243,471
20180203,479,111,361,1244
20180204,275,88,281,613
20180205,130,53,107,459
20180206,112,38,120,301
20180207,156,58,159,457
20180208,222,67,158,417
20180209,245,87,269,442
20180210,743,158,354,1210
20180211,432,120,246,593
20180212,181,38,118,600
20180213,241,59,191,524
20180214,311,67,151,705
20180215,590,151,236,877
20180216,757,199,381,1031
20180217,877,230,325,1561
20180218,671,230,330,535
20180219,457,94,137,737
20180220,383,77,152,588
20180221,439,77,197,623
20180222,504,87,205,753
20180223,642,75,183,832
20180224,1126,344,475,1347
20180225,1321,577,767,831
20180226,887,173,280,946
20180227,902,109,223,925
20180228,445,65,238,1161
20180301,762,325,430,1172
20180302,651,138,317,837
20180303,2013,1337,1234,1164
20180304,694,340,348,577
20180305,270,97,267,391
20180306,326,152,219,321
20180307,326,99,223,322
20180308,207,65,143,262
20180309,357,86,236,462
20180310,1239,1008,999,1025
20180311,1157,1291,1351,690
20180312,323,140,200,420
20180313,428,120,271,275
20180314,667,295,452,438
20180315,142,56,151,375
20180316,748,153,313,509
20180317,2699,2413,1946,1018
20180318,1444,933,1075,908
20180319,422,70,144,392
20180320,409,97,241,328
20180321,175,51,172,366
20180322,458,109,243,390
20180323,735,168,296,515
20180324,1909,798,780,972
20180325,1287,596,680,856
20180326,527,121,207,382
20180327,505,93,180,309
20180328,658,125,241,395
20180329,656,113,229,389
20180330,1159,272,348,478
20180331,3540,2427,1791,974
20180401,1363,1215,1170,717
20180402,816,227,305,422
20180403,907,286,454,362
20180404,594,298,589,471
20180405,260,86,215,517
20180406,927,311,410,601
20180407,1603,1926,1243,1178
20180408,1154,1686,1100,963
20180409,933,544,482,395
20180410,894,552,504,420
20180411,761,423,354,460
20180412,998,613,540,533
20180413,1742,672,563,536
20180414,692,276,366,1101
20180415,2305,2078,1472,888
20180416,1391,437,456,442
20180417,936,310,421,378
20180418,977,317,374,500
20180419,1112,298,298,533
20180420,1503,345,379,522
20180421,3617,2865,1859,1010
20180422,1273,776,723,957
20180423,218,43,139,442
20180424,708,201,264,381
20180425,1254,402,551,402
20180426,1199,342,475,501
20180427,1407,410,672,538
20180428,2668,2332,1671,915
20180429,2349,2937,2058,762
20180430,2015,495,484,696
20180501,2729,1821,1544,830
20180502,303,79,183,537
20180503,864,242,366,503
20180504,1515,532,696,634
20180505,3956,4585,3397,1084
20180506,916,388,613,1318
20180507,2326,2893,2456,908
20180508,994,360,454,310
20180509,909,311,439,375
20180510,932,282,590,460
20180511,1268,372,447,514
20180512,619,163,374,1152
20180513,1538,1989,1765,748
20180514,813,249,305,387
20180515,871,298,384,432
20180516,288,68,171,455
20180517,265,118,148,539
20180518,962,249,364,475
20180519,3632,4301,2781,961
20180520,3315,3843,2230,861
20180521,5060,2008,1430,1301
20180522,2071,2963,2154,825
20180523,861,232,324,362
20180524,817,212,315,357
20180525,1057,319,521,464
20180526,2910,2096,1167,906
20180527,1733,1874,1202,757
20180528,1337,336,324,394
20180529,907,304,328,339
20180530,1018,307,328,383
20180531,1131,349,383,443
20180601,1459,379,362,465
20180602,2569,1998,1196,790
20180603,1742,1696,1027,661
20180604,1225,275,247,410
20180605,1490,393,324,514
20180606,1950,2150,1305,740
20180607,1000,272,263,412
20180608,1163,274,461,374
20180609,2017,1425,1142,789
20180610,1511,1553,1199,606
20180611,905,215,292,363
20180612,1310,301,355,412
20180613,1826,1717,1386,610
20180614,882,161,283,446
20180615,1117,264,378,413
20180616,2198,1607,1273,768
20180617,1518,1083,879,652
20180618,808,162,218,371
20180619,742,167,249,391
20180620,769,186,270,367
20180621,830,177,303,412
20180622,1044,176,342,524
20180623,2236,1008,840,930
20180624,1214,631,564,667
20180625,869,174,204,427
20180626,229,38,143,398
20180627,668,125,265,403
20180628,623,162,216,427
20180629,967,191,290,569
20180630,1093,336,417,979
20180701,349,63,146,675
20180702,203,31,133,369
20180703,532,127,194,388
20180704,614,135,201,375
20180705,520,107,220,414
20180706,1013,202,323,563
20180707,2289,1254,1195,951
20180708,1687,1261,1107,757
20180709,245,47,108,393
20180710,424,99,200,361
20180711,554,121,233,312
20180712,537,113,216,432
20180713,739,140,253,541
20180714,1483,444,519,733
20180715,937,296,465,668
20180716,466,70,166,400
20180717,460,77,139,375
20180718,399,78,172,386
20180719,444,76,206,443
20180720,627,115,222,573
20180721,1075,216,389,836
20180722,837,136,266,644
20180723,485,62,129,424
20180724,425,66,195,468
20180725,453,83,201,449
20180726,531,84,210,583
20180727,612,137,259,535
20180728,881,147,317,882
20180729,921,182,309,833
20180730,985,112,163,1147
20180731,752,103,318,1030
20180801,871,80,293,1103
20180802,883,80,359,1212
20180803,875,96,241,1121
20180804,1025,149,309,898
20180805,733,161,259,698
20180806,731,69,135,678
20180807,875,78,242,546
20180808,1062,68,212,599
20180809,720,76,225,607
20180810,881,92,282,731
20180811,1287,280,463,868
20180812,969,293,339,836
20180813,769,103,161,684
20180814,861,76,224,753
20180815,960,233,445,857
