³¯Â¥,PM10,PM2.5
20170101,80.0,71.0
20170102,111.0,95.0
20170103,86.0,67.0
20170104,54.0,40.0
20170105,33.0,22.0
20170106,20.0,10.0
20170107,54.0,42.0
20170108,26.0,17.0
20170109,58.0,50.0
20170110,33.0,16.0
20170111,25.0,10.0
20170112,31.0,17.0
20170113,28.0,11.0
20170114,43.0,9.0
20170115,26.0,12.0
20170116,45.0,28.0
20170117,66.0,54.0
20170118,102.0,93.0
20170119,105.0,80.0
20170120,55.0,44.0
20170121,54.0,46.0
20170122,72.0,27.0
20170123,46.0,39.0
20170124,40.0,34.0
20170125,50.0,42.0
20170126,64.0,58.0
20170127,108.0,18.0
20170128,31.0,10.0
20170129,25.0,14.0
20170130,48.0,39.0
20170131,33.0,22.0
20170201,35.0,21.0
20170202,33.0,17.0
20170203,64.0,50.0
20170204,97.0,87.0
20170205,67.0,62.0
20170206,40.0,30.0
20170207,40.0,27.0
20170208,56.0,39.0
20170209,48.0,17.0
20170210,32.0,17.0
20170211,28.0,16.0
20170212,31.0,20.0
20170213,44.0,34.0
20170214,51.0,37.0
20170215,66.0,54.0
20170216,70.0,56.0
20170217,43.0,15.0
20170218,31.0,15.0
20170219,44.0,28.0
20170220,42.0,20.0
20170221,40.0,28.0
20170222,38.0,29.0
20170223,35.0,21.0
20170224,28.0,16.0
20170225,45.0,33.0
20170226,48.0,38.0
20170227,37.0,24.0
20170228,46.0,33.0
20170301,63.0,53.0
20170302,35.0,21.0
20170303,43.0,24.0
20170304,57.0,42.0
20170305,72.0,60.0
20170306,36.0,27.0
20170307,32.0,20.0
20170308,41.0,18.0
20170309,44.0,19.0
20170310,42.0,25.0
20170311,62.0,45.0
20170312,90.0,76.0
20170313,56.0,44.0
20170314,45.0,28.0
20170315,38.0,22.0
20170316,61.0,46.0
20170317,73.0,60.0
20170318,67.0,53.0
20170319,68.0,57.0
20170320,88.0,71.0
20170321,99.0,80.0
20170322,48.0,31.0
20170323,68.0,47.0
20170324,49.0,36.0
20170325,61.0,47.0
20170326,59.0,47.0
20170327,66.0,60.0
20170328,78.0,67.0
20170329,58.0,47.0
20170330,66.0,49.0
20170331,43.0,29.0
20170401,18.0,11.0
20170402,40.0,31.0
20170403,78.0,63.0
20170404,71.0,53.0
20170405,49.0,34.0
20170406,23.0,14.0
20170407,48.0,33.0
20170408,60.0,44.0
20170409,38.0,25.0
20170410,22.0,12.0
20170411,47.0,19.0
20170412,58.0,8.0
20170413,64.0,24.0
20170414,53.0,22.0
20170415,59.0,28.0
20170416,57.0,31.0
20170417,38.0,22.0
20170418,38.0,19.0
20170419,70.0,9.0
20170420,70.0,17.0
20170421,59.0,20.0
20170422,58.0,25.0
20170423,47.0,23.0
20170424,40.0,17.0
20170425,56.0,30.0
20170426,38.0,13.0
20170427,44.0,11.0
20170428,58.0,23.0
20170429,58.0,28.0
20170430,87.0,53.0
20170501,87.0,54.0
20170502,87.0,51.0
20170503,66.0,37.0
20170504,55.0,31.0
20170505,48.0,22.0
20170506,165.0,15.0
20170507,79.0,12.0
20170508,142.0,37.0
20170509,106.0,30.0
20170510,35.0,16.0
20170511,64.0,31.0
20170512,70.0,44.0
20170513,47.0,25.0
20170514,50.0,10.0
20170515,38.0,7.0
20170516,31.0,12.0
20170517,34.0,14.0
20170518,42.0,23.0
20170519,42.0,23.0
20170520,35.0,17.0
20170521,27.0,14.0
20170522,38.0,24.0
20170523,33.0,18.0
20170524,26.0,12.0
20170525,33.0,14.0
20170526,19.0,9.0
20170527,29.0,10.0
20170528,39.0,20.0
20170529,61.0,35.0
20170530,45.0,22.0
20170531,32.0,16.0
20170601,32.0,15.0
20170602,23.0,4.0
20170603,25.0,5.0
20170604,24.0,5.0
20170605,21.0,7.0
20170606,16.0,5.0
20170607,13.0,5.0
20170608,37.0,24.0
20170609,53.0,36.0
20170610,45.0,22.0
20170611,23.0,5.0
20170612,25.0,8.0
20170613,27.0,11.0
20170614,37.0,18.0
20170615,43.0,23.0
20170616,57.0,38.0
20170617,43.0,28.0
20170618,37.0,24.0
20170619,44.0,30.0
20170620,46.0,32.0
20170621,48.0,35.0
20170622,32.0,21.0
20170623,30.0,16.0
20170624,34.0,20.0
20170625,29.0,19.0
20170626,22.0,13.0
20170627,26.0,15.0
20170628,40.0,30.0
20170629,41.0,33.0
20170630,49.0,38.0
20170701,39.0,29.0
20170702,24.0,14.0
20170703,21.0,12.0
20170704,31.0,21.0
20170705,38.0,26.0
20170706,49.0,32.0
20170707,23.0,9.0
20170708,25.0,12.0
20170709,26.0,14.0
20170710,16.0,6.0
20170711,42.0,26.0
20170712,54.0,35.0
20170713,51.0,36.0
20170714,54.0,35.0
20170715,22.0,11.0
20170716,17.0,8.0
20170717,25.0,10.0
20170718,26.0,14.0
20170719,36.0,22.0
20170720,52.0,38.0
20170721,59.0,46.0
20170722,58.0,42.0
20170723,52.0,35.0
20170724,33.0,18.0
20170725,25.0,10.0
20170726,16.0,5.0
20170727,25.0,11.0
20170728,29.0,14.0
20170729,13.0,4.0
20170730,21.0,11.0
20170731,22.0,11.0
20170801,19.0,7.0
20170802,32.0,18.0
20170803,23.0,10.0
20170804,24.0,13.0
20170805,30.0,18.0
20170806,25.0,14.0
20170807,33.0,20.0
20170808,38.0,24.0
20170809,33.0,20.0
20170810,7.0,3.0
20170811,7.0,4.0
20170812,8.0,3.0
20170813,8.0,3.0
20170814,7.0,3.0
20170815,6.0,3.0
20170816,6.0,3.0
20170817,10.0,4.0
20170818,26.0,12.0
20170819,24.0,10.0
20170820,10.0,4.0
20170821,12.0,4.0
20170822,18.0,7.0
20170823,24.0,7.0
20170824,25.0,6.0
20170825,27.0,14.0
20170826,25.0,13.0
20170827,23.0,14.0
20170828,29.0,20.0
20170829,18.0,10.0
20170830,23.0,10.0
20170831,29.0,18.0
20170901,17.0,10.0
20170902,18.0,11.0
20170903,20.0,15.0
20170904,19.0,13.0
20170905,18.0,11.0
20170906,24.0,18.0
20170907,29.0,24.0
20170908,35.0,26.0
20170909,43.0,33.0
20170910,37.0,29.0
20170911,16.0,14.0
20170912,21.0,11.0
20170913,21.0,10.0
20170914,21.0,11.0
20170915,12.0,7.0
20170916,8.0,4.0
20170917,6.0,4.0
20170918,15.0,8.0
20170919,50.0,34.0
20170920,21.0,9.0
20170921,23.0,13.0
20170922,25.0,18.0
20170923,49.0,26.0
20170924,54.0,37.0
20170925,38.0,26.0
20170926,37.0,23.0
20170927,30.0,20.0
20170928,18.0,7.0
20170929,18.0,9.0
20170930,30.0,18.0
20171001,28.0,20.0
20171002,14.0,9.0
20171003,31.0,11.0
20171004,17.0,8.0
20171005,12.0,7.0
20171006,9.0,6.0
20171007,6.0,4.0
20171008,15.0,12.0
20171009,24.0,18.0
20171010,26.0,19.0
20171011,10.0,6.0
20171012,18.0,11.0
20171013,23.0,15.0
20171014,19.0,11.0
20171015,18.0,11.0
20171016,24.0,15.0
20171017,29.0,18.0
20171018,21.0,13.0
20171019,14.0,9.0
20171020,23.0,14.0
20171021,29.0,18.0
20171022,19.0,11.0
20171023,23.0,9.0
20171024,26.0,14.0
20171025,35.0,22.0
20171026,44.0,28.0
20171027,52.0,35.0
20171028,37.0,25.0
20171029,54.0,22.0
20171030,32.0,13.0
20171031,32.0,16.0
20171101,45.0,22.0
20171102,58.0,29.0
20171103,46.0,28.0
20171104,52.0,40.0
20171105,46.0,33.0
20171106,38.0,24.0
20171107,48.0,29.0
20171108,71.0,33.0
20171109,51.0,24.0
20171110,44.0,23.0
20171111,75.0,12.0
20171112,35.0,20.0
20171113,44.0,27.0
20171114,49.0,19.0
20171115,27.0,12.0
20171116,26.0,15.0
20171117,40.0,25.0
20171118,41.0,24.0
20171119,23.0,11.0
20171120,36.0,23.0
20171121,53.0,37.0
20171122,69.0,38.0
20171123,26.0,13.0
20171124,21.0,14.0
20171125,25.0,17.0
20171126,33.0,23.0
20171127,47.0,31.0
20171128,74.0,50.0
20171130,24.0,10.0
20171129,66.0,31.0
20171201,24.0,14.0
20171202,42.0,27.0
20171205,22.0,11.0
20171206,32.0,22.0
20171207,48.0,34.0
20171213,38.0,22.0
20171214,56.0,35.0
20171215,83.0,53.0
20171216,43.0,27.0
20171217,36.0,12.0
20171218,55.0,33.0
20171219,45.0,19.0
20171220,41.0,25.0
20171221,56.0,39.0
20171222,66.0,46.0
20171223,109.0,72.0
20171224,80.0,58.0
20171225,30.0,17.0
20171226,29.0,14.0
20171227,27.0,14.0
20171228,49.0,29.0
20171229,93.0,62.0
20171230,136.0,96.0
20171231,63.0,37.0
20171208,33.0,22.0
20171212,33.0,18.0
20171209,38.0,25.0
20171210,41.0,27.0
20171211,45.0,10.0
20171203,53.0,40.0
20171204,46.0,30.0
20180101,42.0,22.0
20180102,43.0,25.0
20180103,34.0,18.0
20180104,44.0,25.0
20180105,64.0,39.0
20180106,54.0,34.0
20180107,56.0,39.0
20180108,63.0,41.0
20180109,40.0,19.0
20180110,32.0,13.0
20180111,33.0,23.0
20180112,24.0,15.0
20180113,55.0,37.0
20180114,74.0,52.0
20180115,73.0,46.0
20180116,109.0,75.0
20180117,119.0,85.0
20180118,86.0,54.0
20180119,61.0,30.0
20180120,101.0,58.0
20180121,64.0,35.0
20180122,48.0,30.0
20180124,29.0,9.0
20180125,24.0,11.0
20180126,33.0,18.0
20180127,47.0,29.0
20180128,34.0,21.0
20180129,46.0,16.0
20180130,44.0,23.0
20180131,43.0,22.0
20180123,25.0,13.0
20180201,41.0,23.0
20180202,56.0,34.0
20180203,40.0,21.0
20180204,32.0,20.0
20180205,28.0,14.0
20180206,32.0,18.0
20180207,43.0,26.0
20180208,54.0,32.0
20180209,67.0,42.0
20180210,77.0,39.0
20180211,52.0,14.0
20180212,50.0,13.0
20180213,49.0,16.0
20180214,64.0,29.0
20180215,38.0,15.0
20180217,48.0,11.0
20180218,35.0,16.0
20180219,60.0,37.0
20180220,63.0,38.0
20180222,44.0,26.0
20180226,64.0,42.0
20180227,100.0,65.0
20180228,64.0,40.0
20180221,34.0,17.0
20180216,44.0,21.0
20180224,80.0,54.0
20180225,43.0,28.0
20180223,86.0,57.0
20180302,63.0,28.0
20180305,8.0,4.0
20180306,30.0,16.0
20180307,25.0,14.0
20180308,30.0,24.0
20180309,45.0,30.0
20180310,50.0,31.0
20180311,57.0,34.0
20180312,95.0,56.0
20180313,77.0,45.0
20180314,24.0,12.0
20180315,23.0,14.0
20180316,13.0,6.0
20180317,31.0,18.0
20180318,62.0,40.0
20180319,29.0,18.0
20180320,19.0,8.0
20180321,14.0,6.0
20180304,35.0,21.0
20180301,40.0,28.0
20180331,60.0,29.0
20180328,62.0,37.0
20180327,96.0,54.0
20180330,64.0,33.0
20180326,,
20180329,61.0,36.0
20180303,57.0,26.0
20180324,,
20180322,,
20180325,,
20180323,,
20180414,21.0,11.0
20180415,77.0,20.0
20180416,40.0,20.0
20180417,62.0,27.0
20180418,79.0,32.0
20180419,87.0,35.0
20180420,108.0,47.0
20180421,82.0,38.0
20180422,40.0,18.0
20180423,8.0,5.0
20180424,8.0,5.0
20180425,37.0,23.0
20180426,49.0,27.0
20180427,58.0,34.0
20180428,66.0,38.0
20180429,57.0,29.0
20180430,88.0,50.0
20180402,70.0,24.0
20180409,37.0,21.0
20180407,51.0,21.0
20180403,70.0,18.0
20180410,44.0,18.0
20180406,115.0,21.0
20180413,38.0,13.0
20180411,65.0,21.0
20180408,26.0,13.0
20180405,7.0,4.0
20180412,44.0,13.0
20180401,70.0,31.0
20180404,14.0,6.0
20180501,67.0,41.0
20180502,45.0,30.0
20180503,28.0,13.0
20180504,42.0,15.0
20180505,41.0,15.0
20180506,14.0,7.0
20180507,36.0,15.0
20180508,17.0,3.0
20180509,23.0,4.0
20180510,47.0,22.0
20180511,63.0,39.0
20180512,30.0,19.0
20180513,23.0,16.0
20180514,75.0,54.0
20180515,80.0,52.0
20180516,33.0,21.0
20180517,12.0,6.0
20180518,7.0,2.0
20180519,10.0,3.0
20180520,10.0,3.0
20180521,17.0,7.0
20180522,32.0,21.0
20180523,49.0,7.0
20180524,101.0,22.0
20180525,100.0,33.0
20180526,86.0,39.0
20180527,73.0,31.0
20180528,56.0,27.0
20180529,46.0,29.0
20180530,50.0,28.0
20180531,52.0,29.0
20180601,48.0,23.0
20180602,42.0,22.0
20180603,30.0,17.0
20180604,45.0,27.0
20180605,46.0,31.0
20180606,48.0,32.0
20180607,54.0,37.0
20180608,37.0,24.0
20180609,38.0,24.0
20180610,9.0,3.0
20180611,9.0,2.0
20180612,16.0,7.0
20180613,33.0,21.0
20180614,32.0,22.0
20180615,14.0,5.0
20180616,21.0,9.0
20180617,59.0,39.0
20180618,47.0,28.0
20180619,44.0,29.0
20180620,49.0,33.0
20180621,44.0,26.0
20180622,49.0,29.0
20180623,45.0,23.0
20180624,62.0,42.0
20180625,69.0,42.0
20180626,51.0,37.0
20180627,28.0,22.0
20180628,21.0,15.0
20180629,41.0,29.0
20180630,44.0,32.0
20180701,11.0,6.0
20180702,8.0,6.0
20180703,12.0,7.0
20180704,25.0,13.0
20180705,18.0,13.0
20180706,5.0,2.0
20180707,7.0,2.0
20180708,11.0,4.0
20180709,8.0,3.0
20180710,22.0,12.0
20180711,29.0,17.0
20180712,28.0,16.0
20180713,21.0,13.0
20180714,18.0,10.0
20180715,21.0,16.0
20180716,27.0,17.0
20180717,32.0,23.0
20180718,33.0,24.0
20180719,33.0,22.0
20180720,40.0,25.0
20180721,46.0,30.0
20180722,32.0,21.0
20180723,30.0,18.0
20180724,43.0,29.0
20180725,32.0,21.0
20180726,39.0,27.0
20180727,47.0,34.0
20180728,34.0,24.0
20180729,17.0,12.0
20180730,8.0,5.0
20180731,16.0,10.0
20180801,30.0,18.0
20180802,40.0,27.0
20180803,44.0,32.0
20180804,28.0,19.0
20180805,24.0,17.0
20180806,26.0,18.0
20180807,21.0,13.0
20180808,29.0,18.0
20180809,25.0,17.0
20180810,14.0,9.0
20180811,9.0,5.0
20180812,14.0,9.0
20180813,32.0,23.0
20180814,31.0,20.0
20180815,27.0,19.0
20180816,15.0,10.0
20180817,12.0,4.0
20180818,16.0,5.0
20180819,26.0,12.0
20180820,35.0,20.0
20180821,24.0,14.0
20180822,24.0,15.0
20180823,12.0,6.0
20180824,8.0,5.0
20180825,25.0,13.0
20180826,20.0,11.0
20180827,9.0,4.0
20180828,9.0,4.0
20180829,13.0,7.0
20180830,29.0,19.0
20180831,27.0,14.0
20180901,18.0,7.0
20180902,13.0,4.0
20180903,15.0,5.0
20180904,21.0,6.0
20180905,30.0,8.0
20180906,40.0,18.0
20180907,26.0,9.0
20180908,23.0,5.0
20180909,20.0,6.0
20180910,11.0,3.0
20180911,11.0,2.0
20180912,16.0,4.0
20180913,18.0,6.0
20180914,16.0,6.0
20180915,14.0,5.0
20180916,38.0,24.0
20180917,30.0,13.0
20180918,40.0,16.0
20180919,43.0,16.0
20180920,15.0,7.0
20180921,7.0,1.0
20180922,35.0,10.0
20180923,31.0,7.0
20180924,13.0,3.0
20180925,13.0,3.0
