³¯Â¥,PM10,PM2.5
20170101,64.0,49.0
20170102,94.0,64.0
20170103,76.0,47.0
20170104,55.0,33.0
20170105,31.0,19.0
20170106,22.0,13.0
20170107,48.0,31.0
20170108,28.0,20.0
20170109,57.0,41.0
20170110,30.0,13.0
20170111,24.0,10.0
20170112,33.0,14.0
20170113,40.0,11.0
20170114,47.0,10.0
20170115,27.0,13.0
20170116,58.0,31.0
20170117,66.0,43.0
20170118,96.0,67.0
20170119,105.0,65.0
20170120,53.0,32.0
20170121,54.0,36.0
20170122,78.0,23.0
20170123,45.0,30.0
20170124,43.0,29.0
20170125,54.0,39.0
20170126,64.0,45.0
20170127,126.0,17.0
20170128,36.0,12.0
20170129,24.0,13.0
20170130,49.0,30.0
20170131,34.0,20.0
20170201,39.0,20.0
20170202,35.0,15.0
20170203,64.0,40.0
20170204,94.0,63.0
20170205,60.0,46.0
20170206,40.0,24.0
20170207,43.0,22.0
20170208,61.0,32.0
20170209,54.0,16.0
20170210,33.0,15.0
20170211,29.0,14.0
20170212,31.0,17.0
20170213,47.0,26.0
20170214,51.0,29.0
20170215,66.0,40.0
20170216,69.0,44.0
20170217,48.0,18.0
20170218,32.0,18.0
20170219,42.0,27.0
20170220,44.0,26.0
20170221,47.0,33.0
20170222,40.0,30.0
20170223,35.0,24.0
20170224,27.0,18.0
20170225,42.0,33.0
20170226,40.0,28.0
20170227,45.0,29.0
20170228,51.0,31.0
20170301,57.0,40.0
20170302,31.0,23.0
20170303,46.0,27.0
20170304,54.0,33.0
20170305,61.0,47.0
20170306,35.0,26.0
20170307,33.0,23.0
20170308,46.0,23.0
20170309,49.0,24.0
20170310,48.0,30.0
20170311,71.0,41.0
20170312,89.0,72.0
20170313,63.0,46.0
20170314,45.0,27.0
20170315,46.0,29.0
20170316,71.0,49.0
20170317,69.0,61.0
20170318,71.0,48.0
20170319,78.0,55.0
20170320,106.0,74.0
20170321,105.0,70.0
20170322,62.0,35.0
20170323,82.0,38.0
20170324,66.0,34.0
20170325,69.0,39.0
20170326,63.0,39.0
20170327,71.0,49.0
20170328,78.0,47.0
20170329,59.0,36.0
20170330,77.0,41.0
20170331,47.0,28.0
20170401,22.0,14.0
20170402,50.0,30.0
20170403,83.0,50.0
20170404,78.0,37.0
20170405,50.0,27.0
20170406,26.0,15.0
20170407,44.0,23.0
20170408,60.0,34.0
20170409,37.0,18.0
